Item_Code,Description,Type,Class,UOM,Category,Issue_Qty_2Yr,Issue_Txn_Count
0407,".01 OHM,1%,5W",R,R,EA,,0,0
115352A-20,insertion spring,R,EQMT,EA,RAW,0,0
12787M,"BELT FOR 23"" TRACK SPEEDLINE",N,EQMT,EA,RAW,0,0
1278M,,N,SHOP,EA,RAW,0,0
7735-02A,Rev B for Model 7000,M,EQMT,EA,RAW,0,0
7735-1-02A,rev b model 7000,R,EQMT,EA,RAW,0,0
7735-1-04,RETENTION FINGER SPRING,R,EQMT,EA,RAW,0,0
7735-1-04A,Cutoff Blade for Zierick,R,EQMT,EA,RAW,0,0
7735-1-05A,"""U"" channel cutter for Zierick",R,EQMT,EA,RAW,0,0
7735-1-06A,Insertion plunger for Zierick,R,EQMT,EA,RAW,0,0
7735-2-10A,INDEX PIN,R,EQMT,EA,RAW,0,0
7735-2-13,DRAG PIN,R,EQMT,EA,RAW,0,0
7969M,"BELT FOR 13"" TRACK SPEEDLINE",R,EQMT,EA,RAW,0,0
90-102-0300,SPLAYING ANVIL 30 DEG,N,SHOP,EA,RAW,0,0
90-112-1375,ANVIL HOLDER,N,SHOP,EA,RAW,0,0
9700-7,LEASE:24 MONTHS,R,EQMT,EA,RAW,0,0
AD0001,ADHES Epoxy Adhesive,R,AD,EA,RAW,0,0
AD0002,ADHES Mixing Nozzle,R,AD,EA,RAW,0,0
AD0003,ADHES EPX Applicator,R,AD,EA,RAW,0,0
AD0004,ADHES Jetmelt 3764 Stick,R,AD,EA,RAW,0,0
AD0005,ADHES EPX-P Plunger,R,AD,EA,RAW,0,0
AD0008,ADHES DP-270 (Clear),R,AD,EA,RAW,0,0
AD0009,Loctite 415 Instant Adhesive,N,AD,OZ,RAW,0,0
AD0010,LOCTITE 425 ADHESIVE,N,AD,EA,RAW,0,0
AD0011,PROLEX ADHESIVE 428,N,AD,EA,RAW,0,0
AD0012,"FOAM TAPE DBL STK 2""x0.4""x0.04",N,AD,EA,RAW,0,0
AD0013,Eternabond Doublestick (VGC),N,AD,FT,RAW,0,0
AD0014,Resinlab EP965LVLX  50ml,R,AD,EA,RAW,0,0
