partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
10K_0805_1%,RSM0036,10K 1/8W 0805 1%,resistor,10K,0805,,2000,,10K_0805_1%,RESC2012X65,,,388497,194,medium,28
0.1UF_0805,CSM0065,0.1UF 50V CERAMIC 0805 LF,capacitor,0.1UF,0805,,2000,,0.1UF_0805,CAPC2012X110,,,367562,233,high,101
0.1UF_0603_10%_16V,CSM0084,CAP 0.1uF 16V Ceramic 0603,capacitor,0.1UF,0603,,1000,,0.1UF_0603_10%_16V,CAPC1608X85,,,221051,159,medium,253
10K_0603,RSM0126,RES 10K OHM 1/10W 1% 0603 SMD,resistor,10K,0603,,1000,,10K_0603,RESC1608X60,,,198756,200,medium,400
1N4007-TP,D0025,1N4007 AXIAL LF,diode,,AXIAL,,1000,,1N4007-TP,DO-41,,,160305,136,medium,44
1.2K_0805,RSM0038,1.2K 1/8W 1% 0805,resistor,1.2K,0805,,1000,,1.2K_0805,RESC2012X65,,,149510,151,high,41
150^_0805_1%,RSM0043,150^ 1/8W 1% 0805,resistor,150^,0805,,1000,,150^_0805_1%,RESC2012X65,,,131574,136,high,52
1N4148,DSM0002,1N4148 SOD-123 150mA 100V,diode,,DO-1N4148,,2000,,1N4148,DO-1N4148,,,131126,84,medium,90
180^_0603,RSM0121,"180 Ohm, 1/8W, 1%, 0805",resistor,180^,0805,,1000,,180^_0603,RESC1608X60,,,112648,89,low,37
LED_RED_0805,L0068,*** CUSTOMER SUPPLIED ***RED,led,RED,LEDC2012X110N_B,,3000,,LED_RED_0805,LEDC2012X110N_B,,,108380,33,medium,62
220^_0805,RSM0079,RES 220^ 1/8W 1% 0805,resistor,220^,0805,,1000,,220^_0805,RESC2012X65,,,107890,89,high,72
1UF_0603,CSM0154,.1uF 50V X7R 0603,capacitor,1UF,0603,,1000,,1UF_0603,CAPC1608X85,,,104513,99,medium,18
0.1UF_50V_AXIAL,C0024,0.1UF 50V CER AXIAL LF,capacitor,0.1UF,AXIAL,,500,,0.1UF_50V_AXIAL,C410,,,97551,162,high,44
LED_RED_0805,LSM0010,RED 0805 SMT,led,RED,0805,,500,,LED_RED_0805,LEDC2012X110N_B,,,92792,134,medium,62
10K_0603,R0021,10K 5% 0.25W,resistor,10K,RESC1608X60,,1000,,10K_0603,RESC1608X60,,,77072,64,low,400
1.2K_0603,RSM0154,1.2K 1/10W 1% 0603,resistor,1.2K,0603,,500,,1.2K_0603,RESC1608X60,,,75586,106,high,52
MMBT3906LT1,TSM0001,TSM MMBT3906LT1G SOT-23 PNP,transistor,,SOT23,,500,,MMBT3906LT1,SOT23,,,74406,105,medium,30
1K_0805_1%_0.25W,RSM0066,1k 1% 1/8W 0805,resistor,1K,0805,,2500,,1K_0805_1%_0.25W,RESC2012X65,,,71430,29,medium,8
470PF_100V_AXIAL,C0140,"Cap,Cer,Axial,470pf,100V, 5%",capacitor,470PF,AXIAL,,2000,,470PF_100V_AXIAL,C410,,,70250,35,high,32
4.7K_AXIAL,R0005,4.7K 5% 0.25W AXIAL LF,resistor,4.7K,AXIAL,,500,,4.7K_AXIAL,SFR16S,,,68293,115,high,2
