partNumber,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts
10K_0805_1%,10K 1/8W 0805 1%,resistor,10K,0805,,2000,,10K_0805_1%,RESC2012X65,,
0.1UF_0805,0.1UF 50V CERAMIC 0805 LF,capacitor,0.1UF,0805,,2000,,0.1UF_0805,CAPC2012X110,,
0.1UF_0603_10%_16V,CAP 0.1uF 16V Ceramic 0603,capacitor,0.1UF,0603,,1000,,0.1UF_0603_10%_16V,CAPC1608X85,,
10K_0603,RES 10K OHM 1/10W 1% 0603 SMD,resistor,10K,0603,,1000,,10K_0603,RESC1608X60,,
1N4007-TP,1N4007 AXIAL LF,diode,,AXIAL,,1000,,1N4007-TP,DO-41,,
1.2K_0805,1.2K 1/8W 1% 0805,resistor,1.2K,0805,,1000,,1.2K_0805,RESC2012X65,,
150^_0805_1%,150^ 1/8W 1% 0805,resistor,150^,0805,,1000,,150^_0805_1%,RESC2012X65,,
1N4148,1N4148 SOD-123 150mA 100V,diode,,DO-1N4148,,2000,,1N4148,DO-1N4148,,
180^_0603,"180 Ohm, 1/8W, 1%, 0805",resistor,180^,0805,,1000,,180^_0603,RESC1608X60,,
LED_RED_0805,*** CUSTOMER SUPPLIED ***RED,led,RED,LEDC2012X110N_B,,3000,,LED_RED_0805,LEDC2012X110N_B,,
220^_0805,RES 220^ 1/8W 1% 0805,resistor,220^,0805,,1000,,220^_0805,RESC2012X65,,
1UF_0603,.1uF 50V X7R 0603,capacitor,1UF,0603,,1000,,1UF_0603,CAPC1608X85,,
0.1UF_50V_AXIAL,0.1UF 50V CER AXIAL LF,capacitor,0.1UF,AXIAL,,500,,0.1UF_50V_AXIAL,C410,,
LED_RED_0805,RED 0805 SMT,led,RED,0805,,500,,LED_RED_0805,LEDC2012X110N_B,,
10K_0603,10K 5% 0.25W,resistor,10K,RESC1608X60,,1000,,10K_0603,RESC1608X60,,
1.2K_0603,1.2K 1/10W 1% 0603,resistor,1.2K,0603,,500,,1.2K_0603,RESC1608X60,,
MMBT3906LT1,TSM MMBT3906LT1G SOT-23 PNP,transistor,,SOT23,,500,,MMBT3906LT1,SOT23,,
1K_0805_1%_0.25W,1k 1% 1/8W 0805,resistor,1K,0805,,2500,,1K_0805_1%_0.25W,RESC2012X65,,
470PF_100V_AXIAL,"Cap,Cer,Axial,470pf,100V, 5%",capacitor,470PF,AXIAL,,2000,,470PF_100V_AXIAL,C410,,
4.7K_AXIAL,4.7K 5% 0.25W AXIAL LF,resistor,4.7K,AXIAL,,500,,4.7K_AXIAL,SFR16S,,
180^_0603,RES 180 OHM 1/8W 1% 0603,resistor,180^,0603,,500,,180^_0603,RESC1608X60,,
